type,difficulty,category,question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
倍数,容易,常识,Valve在开发Vive时与哪家公司合作？,宏达电商,Oculus,谷歌,雷蛇
倍数,容易,常识,什么是古巴"官方、最广泛使用的语言？,西班牙语,葡萄牙语,法语,意大利语
倍数,容易,常识,哪些糖果不是火星制造的？,杏仁喜悦,合并与M"s,特威克斯,偷笑
倍数,容易,常识,地球位于哪个星系？,银河系,火星银河系,银河笔记,黑洞
倍数,容易,常识,“A3“， ”B1“， 和 ”法律&哪个物体的尺寸通常有名称？,纸,飞机,法律书籍,电话筛查
倍数,容易,常识,维珍列车、维珍大西洋和维珍赛车，这些公司都是哪位著名企业家拥有的？,理查德·布兰森,艾伦·舒格,唐纳德·特朗普,比尔·盖茨
倍数,容易,常识,指尖陀螺中心的是什么机械元件？,轴承,车轴,齿轮,带
倍数,容易,常识,51区位于美国哪个州？,内华达州,亚利桑那州,新墨西哥州,犹他州
倍数,容易,常识,美国公司 &坎贝尔"s”最著名的是生产哪种食品产品？,罐装汤,巧克力,软饮料,香肠
倍数,容易,常识,谷歌的标志中没有出现哪种颜色？,粉红色,黄色,蓝,绿
倍数,容易,常识,伦敦地铁的第一条线路是什么？,大都会线,环线,贝克卢线,维多利亚线
倍数,容易,常识,谁在1847年发明了第一块巧克力棒？,约瑟夫·弗莱,安德鲁·约翰逊,约翰·卡德伯里,约翰·泰勒
倍数,容易,常识,瓦路易吉"他第一次出现是在哪款游戏里？,马里奥网球64（N64）,瓦里奥乐园：超级马里奥乐园3,马里奥派对（N64）,任天堂明星大乱斗特别版
倍数,容易,常识,在空气动力学中，是什么力推动物体向上？,电梯,拉,重量,推力
倍数,容易,常识,Playstation 3是什么时候发布的？,2006年11月11日,2007年1月8日,2007年12月25日,2006年7月16日
倍数,容易,常识,《弹丸论破 另一话：极度绝望少女》中的反派团体叫什么名字？,希望战士,莫诺库布斯,绝望战士,终极绝望
倍数,容易,常识,那个 "S"SIM的缩写，比如SIM卡？,订户,单,安全,固体
倍数,容易,常识,以下哪一种血液成分在受伤部位形成堵塞？,血小板,红细胞,白细胞,血浆
倍数,容易,常识,这些节日中，哪些通常不在十二月庆祝？,感恩,圣诞节,宽扎节,光明
倍数,容易,常识,以下哪一个是曼彻斯特机场的国际航空运输协会代码？,男人,EGL,LHR,EGCC
倍数,容易,常识,有哪些技术是以十世纪丹麦和挪威的一位统治者命名的？,蓝牙,Wi-Fi,GPS,互联网
倍数,容易,常识,法语中“&”的词是什么？鱼&？,泊 松,菲谢,蜗牛,梅尔
倍数,容易,常识,funambulist 走路的是什么？,走钢丝,破碎的玻璃,有种,月亮
倍数,容易,常识,飞镖盘上，1号正对面是哪个号码？,19,20,12,15
倍数,容易,常识,一英里里有多少弗隆？,八,二,四,六
倍数,容易,常识,现存最大的企鹅物种是什么？,皇帝,王,巴布亚,阿黛勒
倍数,容易,常识,犬恐惧症到底害怕什么？,狗,鸟类,飞行,病菌
倍数,容易,常识,《古兰经》是哪个亚伯拉罕宗教的圣书？,伊斯兰教,基督教,犹太教,拉斯塔法里教
倍数,容易,常识,以下哪一款节奏游戏是由Harmonix制作的？,摇滚乐团,肉节狂热,吉他英雄现场,舞蹈革命
倍数,容易,常识,什么是塔斯马尼亚？,澳大利亚的一个州,《本与杰瑞》的风味"冰淇淋,一种心理障碍,华纳兄弟动画角色的名字
倍数,容易,常识,哪个词代表字母 #039;T"在北约音标中？,探戈,目标,出租车,土耳其
倍数,容易,常识,除了日本外，哪个国家拥有最多的日裔？,巴西,中国,韩国,美利坚合众国
倍数,容易,常识,欧盟国旗上有几颗星？,12,10,14,16
倍数,容易,常识,印度和巴基斯坦以及其他一些亚洲国家的货币是什么？,卢比,里亚尔,比索,第纳尔
倍数,容易,常识,当一个人是 & “时;羡慕——据说它们是什么颜色？,绿,红,蓝,黄色
倍数,容易,常识,火车站在哪里？"Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch"？,威尔士,摩尔多瓦,捷克共和国,丹麦
倍数,容易,常识,美国百元钞票上描绘了谁？,本杰明·富兰克林,乔治·华盛顿,亚伯拉罕·林肯,托马斯·杰斐逊
倍数,容易,常识,人体最大的器官是什么？,皮肤,心,大肠,肝
倍数,容易,常识,谁是最年轻获得诺贝尔奖的人？,马拉拉·优素福扎伊,劳伦斯·布拉格,维尔纳·海森堡,亚西尔·阿拉法特
倍数,容易,常识,五美元值多少五分镍币？,100,50,25,69
倍数,容易,常识,《致命连队》中的公司叫什么名字？,公司,星球废料公司,致命机器人,戈尔迪安航运公司
倍数,容易,常识,在《半条命》中，附着在头部上的外星人叫什么名字？,头蟹,牛鱿鱼,沃蒂冈特,面罩抱者
倍数,容易,常识,包含三条和一对的扑克牌叫什么名字？,满座,冲洗,直,高牌
倍数,容易,常识,一年中最短的月份是哪一个？,二月,十二月,四月,九月
倍数,容易,常识,由摔跤手Ax和Smash组成的WWF职业摔跤双打队叫什么名字？,破坏,梦之队,丛林战士,英国斗牛犬队
倍数,容易,常识,那个”仙子”类型成功了”宝可梦核心系列游戏的哪一代首次亮相？,第六,第二,第七,第四
倍数,容易,常识,哪个国家的寿司和卡拉OK是从哪里来的？,日本,中国,韩国,越南
倍数,容易,常识,以下哪些地标不位于纽约市？,林肯纪念堂,帝国大厦,时代广场,中央公园
倍数,容易,常识,一副标准扑克牌里有多少张牌？,52,32,40,64
倍数,容易,常识,以下哪款纸牌游戏围绕数字和基础数学展开？,乌诺,钓鱼,龙卷风,曼奇金