type,difficulty,category,question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
multiple,easy,General Knowledge,Which company did Valve cooperate with in the creation of the Vive?,HTC,Oculus,Google,Razer
multiple,easy,General Knowledge,"What is Cuba"s official, most widely spoken language?",Spanish,Portuguese,French,Italian
multiple,easy,General Knowledge,Which candy is NOT made by Mars?,Almond Joy,M&M"s,Twix,Snickers
multiple,easy,General Knowledge,Earth is located in which galaxy?,The Milky Way Galaxy,The Mars Galaxy,The Galaxy Note,The Black Hole
multiple,easy,General Knowledge,""A3", "B1", and "Legal" are typical names of sizes for what object?",Paper,Airplanes,Law books,Phone screens
multiple,easy,General Knowledge,"Virgin Trains, Virgin Atlantic and Virgin Racing, are all companies owned by which famous entrepreneur?   ",Richard Branson,Alan Sugar,Donald Trump,Bill Gates
multiple,easy,General Knowledge,What machine element is located in the center of fidget spinners?,Bearings,Axles,Gears,Belts
multiple,easy,General Knowledge,Area 51 is located in which US state?,Nevada,Arizona,New Mexico,Utah
multiple,easy,General Knowledge,The American company "Campbell's" is most well known for making what food product?,Canned soups,Chocolate,Soft drinks,Sausages
multiple,easy,General Knowledge,Which of these colours is NOT featured in the logo for Google?,Pink,Yellow,Blue,Green
multiple,easy,General Knowledge,What was the first ever London Underground line to be built?,Metropolitan Line,Circle Line,Bakerloo Line,Victoria Line
multiple,easy,General Knowledge,"Who invented the first ever chocolate bar, in 1847?",Joseph Fry,Andrew Johnson,John Cadbury,John Tyler
multiple,easy,General Knowledge,Waluigi"s first appearance was in what game?,Mario Tennis 64 (N64),Wario Land: Super Mario Land 3,Mario Party (N64),Super Smash Bros. Ultimate
multiple,easy,General Knowledge,"In aerodynamics, which force pushes an object upwards?",Lift,Drag,Weight,Thrust
multiple,easy,General Knowledge,When was the Playstation 3 released?,"November 11, 2006","January 8, 2007","December 25, 2007","July 16, 2006"
multiple,easy,General Knowledge,What is the name of the antagonist group in Danganronpa Another Episode: Ultra Despair Girls?,Warriors of Hope,The Monokubs,Warriors of Despair,The Ultimate Despair
multiple,easy,General Knowledge,"What does the "S" stand for in the abbreviation SIM, as in SIM card? ",Subscriber,Single,Secure,Solid
multiple,easy,General Knowledge,Which of the following blood component forms a plug at the site of injuries?,Platelets,Red blood cells,White blood cells,Blood plasma
multiple,easy,General Knowledge,Which of these holidays is NOT usually celebrated in the month of December?,Thanksgiving,Christmas,Kwanzaa,Hanukkah
multiple,easy,General Knowledge,Which of the following is the IATA code for Manchester Airport?,MAN,EGLL,LHR,EGCC
multiple,easy,General Knowledge,What technology is named after a tenth-century ruler of Denmark and Norway?,Bluetooth,Wi-Fi,GPS,Internet
multiple,easy,General Knowledge,What is the French word for "fish"?,poisson,fiche,escargot,mer
multiple,easy,General Knowledge,What does a funambulist walk on?,A Tight Rope,Broken Glass,Balls,The Moon
multiple,easy,General Knowledge,"On a dartboard, what number is directly opposite No. 1?",19,20,12,15
multiple,easy,General Knowledge,How many furlongs are there in a mile?,Eight,Two,Four,Six
multiple,easy,General Knowledge,What is the largest living species of penguin?,Emperor,King,Gentoo,Adele
multiple,easy,General Knowledge,What is Cynophobia the fear of?,Dogs,Birds,Flying,Germs
multiple,easy,General Knowledge,The Quran is the holy book of which Abrahamic religion?,Islam,Christianity,Judaism,Rastafarianism
multiple,easy,General Knowledge,Which one of the following rhythm games was made by Harmonix?,Rock Band,Meat Beat Mania,Guitar Hero Live,Dance Dance Revolution
multiple,easy,General Knowledge,What is Tasmania?,An Australian State,A flavor of Ben and Jerry"s ice-cream,A Psychological Disorder,The Name of a Warner Brothers Cartoon Character
multiple,easy,General Knowledge,What word represents the letter "T" in the NATO phonetic alphabet?,Tango,Target,Taxi,Turkey
multiple,easy,General Knowledge,"Which country, not including Japan, has the most people of Japanese descent?",Brazil,China,South Korea,United States of America
multiple,easy,General Knowledge,The Flag of the European Union has how many stars on it?,12,10,14,16
multiple,easy,General Knowledge,What is the currency of India and Pakistan as well as a few other Asian countries?,Rupee,Riyal,Peso,Dinar
multiple,easy,General Knowledge,"When one is "envious", they are said to be what color?",Green,Red,Blue,Yellow
multiple,easy,General Knowledge,Where is the train station "Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch"?,Wales,Moldova,Czech Republic,Denmark
multiple,easy,General Knowledge,Who is depicted on the US hundred dollar bill?,Benjamin Franklin,George Washington,Abraham Lincoln,Thomas Jefferson
multiple,easy,General Knowledge,What is the largest organ of the human body?,Skin,Heart,large Intestine,Liver
multiple,easy,General Knowledge,Who is the youngest person to receive a Nobel Prize?,Malala Yousafzai,Lawrence Bragg,Werner Heisenberg,Yasser Arafat
multiple,easy,General Knowledge,Five dollars is worth how many nickels?,100,50,25,69
multiple,easy,General Knowledge,What is the name of the company in Lethal Company?,The Company,Planet Scrap Co.,Lethal Robotics,Gordian Shipping Co.
multiple,easy,General Knowledge,"In Half-Life, what is the name of the alien that attaches to heads?",Headcrab,Bullsquid,Vortigaunt,Facehugger
multiple,easy,General Knowledge,What is the name of the poker hand containing three of a kind and a pair?,Full House,Flush,Straight,High card
multiple,easy,General Knowledge,What is the shortest month of the year?,February,December,April,September
multiple,easy,General Knowledge,What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?,Demolition,The Dream Team,The Bushwhackers,The British Bulldogs
multiple,easy,General Knowledge,The "fairy" type made it's debut in which generation of the Pokemon core series games?,6th,2nd,7th,4th
multiple,easy,General Knowledge,What country does sushi & karaoke come from?,Japan,China,South Korea,Vietnam
multiple,easy,General Knowledge,Which of the following landmarks is not located in New York City?,Lincoln Memorial,Empire State Building,Times Square,Central Park
multiple,easy,General Knowledge,How many cards are there in a standard deck of playing cards?,52,32,40,64
multiple,easy,General Knowledge,Which of the following card games revolves around numbers and basic math?,Uno,Go Fish,Twister,Munchkin
